en|The quick brown fox jumps over the lazy dog while the sun shines brightly
nl|De snelle bruine vos springt over de luie hond terwijl de zon schijnt
en|She went to the store to buy some milk and bread for dinner
nl|Ze ging naar de winkel om melk en brood te kopen voor het avondeten
en|It was the best of times it was the worst of times it was
nl|Het was de beste der tijden het was de slechtste der tijden het was
en|I think therefore I am said the philosopher as he pondered the meaning
nl|Ik denk dus ik ben zei de filosoof terwijl hij nadacht over de betekenis
en|The rain in Spain falls mainly on the plain as my fair lady
nl|De regen in Spanje valt voornamelijk op de vlakte zoals mijn mooie dame
en|To be or not to be that is the question whether it is
nl|Te zijn of niet te zijn dat is de vraag of het is
en|Four score and seven years ago our fathers brought forth on this continent
nl|Vier keer twintig en zeven jaar geleden brachten onze vaders voort op dit continent
en|We hold these truths to be self evident that all men are created equal
nl|Wij beschouwen deze waarheden als vanzelfsprekend dat alle mensen gelijk zijn geschapen
en|Ask not what your country can do for you ask what you can do
nl|Vraag niet wat je land voor jou kan doen vraag wat jij voor je
en|The only thing we have to fear is fear itself said the president
nl|Het enige wat we te vrezen hebben is angst zelf zei de president
en|Once upon a time there was a beautiful princess who lived in a castle
nl|Er was eens een mooie prinses die in een kasteel woonde met haar vader
en|Yesterday all my troubles seemed so far away now it looks as though
nl|Gisteren leken al mijn problemen zo ver weg nu lijkt het alsof ze
en|Somewhere over the rainbow way up high there is a land that I
nl|Ergens over de regenboog heel hoog is er een land dat ik droom
en|The world is a stage and all the men and women merely players
nl|De wereld is een toneel en alle mannen en vrouwen zijn slechts spelers
en|The early bird catches the worm but the second mouse gets the cheese
nl|De vroege vogel vangt de worm maar de tweede muis krijgt de kaas
en|You can lead a horse to water but you cannot make it drink
nl|Je kunt een paard naar het water leiden maar je kunt het niet laten drinken
en|Knowledge is power and with great power comes great responsibility so learn wisely
nl|Kennis is macht en met grote macht komt grote verantwoordelijkheid dus leer verstandig
en|All work and no play makes Jack a dull boy so take breaks
nl|Alleen maar werken en niet spelen maakt Jan een saaie jongen dus neem pauzes
en|Time flies like an arrow fruit flies like a banana always remember that
nl|De tijd vliegt als een pijl fruitvliegjes houden van bananen onthoud dat altijd goed
en|The pen is mightier than the sword especially in modern diplomatic negotiations today
nl|De pen is machtiger dan het zwaard vooral in moderne diplomatieke onderhandelingen vandaag
en|A picture is worth a thousand words but sometimes you need to write
nl|Een afbeelding is duizend woorden waard maar soms moet je toch gaan schrijven
en|Actions speak louder than words so show me what you mean now please
nl|Daden zeggen meer dan woorden dus laat me zien wat je bedoelt alsjeblieft
en|Never judge a book by its cover or a person by their appearance
nl|Beoordeel een boek nooit op zijn kaft of een persoon op zijn uiterlijk
en|When in Rome do as the Romans do respect local customs and traditions
nl|Als je in Rome bent doe dan zoals de Romeinen doen respecteer lokale gebruiken
en|An apple a day keeps the doctor away but only if you aim well
nl|Een appel per dag houdt de dokter weg maar alleen als je goed mikt
en|You can't teach an old dog new tricks but sometimes the dog surprises you
nl|Je kunt een oude hond geen nieuwe trucjes leren maar soms verrast de hond
en|Practice makes perfect so keep trying and you will eventually succeed at this
nl|Oefening baart kunst dus blijf proberen en je zult uiteindelijk hierin slagen met geduld
en|The grass is always greener on the other side of the fence but beware
nl|Het gras is altijd groener aan de andere kant van het hek maar pas op
en|Honesty is the best policy especially when telling your friends difficult truths today
nl|Eerlijkheid is de beste politiek vooral bij het vertellen van moeilijke waarheden aan vrienden
en|The journey of a thousand miles begins with a single step so start walking
nl|De reis van duizend mijl begint met een enkele stap dus begin met lopen
en|Don't put all your eggs in one basket diversify your investments and opportunities carefully
nl|Leg niet al je eieren in één mandje diversifieer je investeringen en kansen zorgvuldig
en|If at first you don't succeed try try again until you achieve your goals
nl|Als het eerst niet lukt probeer het opnieuw totdat je je doelen bereikt hebt
en|Curiosity killed the cat but satisfaction brought it back so keep asking questions
nl|Nieuwsgierigheid doodde de kat maar voldoening bracht hem terug dus blijf vragen stellen
en|Better late than never but never late is better so manage your time
nl|Beter laat dan nooit maar nooit laat is beter dus beheer je tijd goed
en|Early to bed and early to rise makes a man healthy wealthy and wise
nl|Vroeg naar bed en vroeg opstaan maakt een mens gezond rijk en wijs
en|A rolling stone gathers no moss but it might gather valuable experiences instead
nl|Een rollende steen verzamelt geen mos maar wel waardevolle ervaringen in plaats daarvan
en|Two wrongs don't make a right so find a better way to respond
nl|Twee fouten maken geen goed dus vind een betere manier om te reageren
en|United we stand divided we fall so let's work together as a team
nl|Eendracht maakt macht tweedracht breekt kracht dus laten we samenwerken als een team
en|All that glitters is not gold sometimes things are not what they seem
nl|Niet alles wat blinkt is goud soms zijn dingen niet wat ze lijken te zijn
en|Too many cooks spoil the broth so coordinate your team efforts carefully now
nl|Te veel koks bederven de brij dus coördineer de inspanningen van je team zorgvuldig
en|Don't count your chickens before they hatch wait for confirmed results before celebrating
nl|Tel je kippen niet voordat ze uitkomen wacht op bevestigde resultaten voordat je viert
en|Rome wasn't built in a day it takes time to achieve great things
nl|Rome is niet in één dag gebouwd het kost tijd om grote dingen te bereiken
en|Out of sight out of mind but absence makes the heart grow fonder
nl|Uit het oog uit het hart maar afwezigheid doet het hart groeien fonder
en|The squeaky wheel gets the grease so don't be afraid to speak up
nl|Het piepende wiel krijgt het vet dus wees niet bang om je uit te spreken
